case_group,ACN,incident_year,Aircraft 1 | Flight Phase,Environment | Flight Conditions,Environment | Weather Elements / Visibility,Environment | Light,Environment | Ceiling,true_label,predicted_label,score,text_word_count,narrative_excerpt
True Positive,2199537,2025,Initial Approach,,,,,1,1,0.9812645585947888,710,Landed with unauthorized flap setting (Flaps 25).  Writing this after reviewing the CEFA (Cockpit Emulator for Flight Analysis) data and discussing with FOQA gate keepers and concurring with their recommendation.  We were arriving at ZZZ with wind gusts 40+ KTS and a LLWS adversary.  I was pilot monitoring and the CA was the pilot flying.  There were some initial issues with getting set up on the approach that put us a little behind the aircraft.  The conditions were visual and we were able to get situated on the approach by final approach fix with all the checklist completed and configured for landing.  Through 1000 ft we were stable.  At about 800 ft I saw a rapid increase in speed and eve
True Positive,2254596,2025,Initial Approach,IMC,,Daylight,,1,1,0.9812476135294576,571,We were inbound for the ILS 22 in IMC. ATC kept us high and fast. We were at 4000 ft. doing 250kts passing YOMAN. I queried ATC about the altitude before we even got to YOMAN and they still wanted us at 4000 ft. I should have asked to slow down. ATC was very busy. Once they cleared us for the approach we were given 3000 ft. and to slow to 180 kts. The First Officer (FO) went full spoilers and 1500 ft. per minute on the vertical speed. I verbalized to the FO that it wasn't going to work. There was no way we were gonna be able to lose 2100 ft. and slow down in 5 miles. I switched to Approach on 134.9 and then over to Tower. At this point it was all happening fast since we were still too fast a
True Positive,2296157,2025,Final Approach,,,,,1,1,0.9802997382414452,540,We were filed for 37000 from ZZZ to Charlotte.  ATC kept us low due to faster traffic in the same direction.  We were finally given 31000 as our final altitude.  We performed some fuel calculations and decided to go to long range cruise to ensure we landed above minimums.  ATC cleared us for the approach to 36L.  The winds were reported as calm.  At the final approach fix; we contacted tower and were cleared to land with winds being 320 at 3 and 3.5 in trail of an Airbus.  The approach was stable; on speed and glideslope.  Just above 500' I disconnected the autopilot.  I maintained GS and at 300' AGL announced I was on the PAPI's.  At apx 100' AGL I began to reduce power and transition to th
True Positive,2304383,2025,Final Approach,VMC,,,,1,1,0.978874825220055,531,While on the visual approach to 26R; we were cleared with an airspeed of 170 knots to OWELL. Earlier in the approach we had been advised by ATC that we would be following a Boeing 777 and to caution wake turbulence. We had encountered their wake multiple times on the downwind with some airspeed fluctuations and turbulence.At this time currently we were on a base to final turn approximately 15 miles from the runway. I was PF and hand flying the visual approach. We intercepted the glideslope and localizer around 200 knots and 4000ft and began down on the final approach to runway. We had been fully configured at flaps 30 with the gear down just past OWELL; as briefed; and began to slow up to ou
True Positive,2285075,2025,Final Approach,,,Daylight,,1,1,0.9783090267256418,85,On a visual approach below 1000 feet; while running the landing checklist we received the 'glideslope' annunciation.  I looked out the window and saw that we were low enough to have 4 red lights on the PAPI.  I stated '4 reds' and within a second or two it was three red lights.  Neither the captain or I called for a go around; though in the debriefing we agreed that we should have gone around for the unstable approach at what I think was about 500'.
True Positive,2276316,2025,Final Approach,VMC,,,,1,1,0.9769744094463492,488,Our flight was delayed on departure due to ZZZ1 weather.  The inbound flight diverted and arrived in ZZZ1 late.  We had a 2-hour delay from XA25 to XC29.  We were all pretty tired by the time we started the descent into ZZZZ.  The captain was PM the FO was PF.  The descent was a series of descend to altitudes with a VVI (Vertical Velocity Indicator).  For example; descend to FL250 at 2500 FPM; continue descent to FL130 at 2000 FPM; speed 310.  A high-speed descent was approved.  Our arrival was the ZZZZZ for Runway XXL; high speed approved; the FO slowed speed from 290 to 270; then slow to 240 kts.  Flaps 1.  We descended thru the area with some storms and with minor course deviations. Befor
True Positive,2273417,2025,Final Approach,VMC,,Daylight,,1,1,0.9759688670126055,989,The flight from ZZZ1 to ZZZ was going smoothly and flawlessly. Approaching ZZZ; on the ZZZZZ X RNAV Arrival; ZZZ cleared the flight to 11000 feet and maintain 300 KIAS. Approaching ZZZZZ1 intersection; we were sent to ZZZ Approach Control. ZZZ Approach. Cleared us to slow to 250 KIAS and descent to 7000 MSL; shortly after; 5000; and 4000 MSL. Things were happening fast as it usually does a ZZZ.Just before ZZZZZ2 intersection; Approach began giving us vectors to the ILS XXR and cleared to 'intercept the course to XXR; maintain 170 KIAS or greater.' In an effort to help ZZZ with spacing I kept the speed selected at 185 KIAS; a comfortable speed for me on a visual approach with ample time to be
True Positive,2217389,2025,Final Approach; Initial Approach,VMC,,,,1,1,0.9759035204650938,328,I was PF and the Captain was PM. Winds were very gusty a ZZZ with LLWS advisories in effect due to a storm system passing through. The Captain and I both had briefed the possibility of a go around due to LLWS and the gusts that were reported up to 45kts at the time. We set up for the RNAV XX to maximize our chances of a stable approach in the given conditions. Aircraft Y departed ZZZ when we were on a 6 mile final and reported gains and losses of 15kts. As we descended on the RNAV XX; conditions began to deteriorate. I was letting the autopilot fly the approach so I could give a little more attention to our airspeed as we were experiencing gains and losses in airspeed by 20kts. Shortly as de
True Positive,2283033,2025,Final Approach,VMC,Cloudy,Daylight,1800.0,1,1,0.9755350985467838,670,This report is to document the multiple approach changes that occurred as well as a low altitude sink rate warning on approach into Guatemala City.  One hour out from landing; the winds in MGGT were variable at 4.  We briefed the ILS Z Rwy 02.  The briefing and descent check were completed well before top of descent.  Approaching the descent point we noted the ATIS was calling the active runway 20 with winds 120/4; BKN 1800 ft with Towering Cumulus and unrestricted visibility.  We completed the brief and set up for RNP Y Rwy 20 prior to top of descent.  We requested and MGGT Center cleared us to GT566 (IAF).  On initial contact with La Aurora Approach we were cleared direct to KATAS for the 
True Positive,2271966,2025,Initial Approach,VMC,,Night,,1,1,0.9743450834800436,605,I was PM; FO was PF. The weather was CAVOK and calm. Upon initial call-up with Approach; I requested from the Approach Controller vectors to final for the ILS XXR and was told to expect that. PF maintained level 3 automation until approximately 200 feet above minimums while established and stabilized on the approach. After disconnecting the autopilot; the PF announced 'I'm going to go 3 red; 1 white;' which was something not briefed during the approach briefing. The runway has a long displaced threshold; I looked at the approach plate notes to see if there was any guidance about the height above the threshold in reference to the visual glideslope and did not find any. I thought that I would 
True Positive,2274912,2025,Initial Approach,,,,,1,1,0.974023699677895,379,In a non VNAV 700; flying the GPS Approach to XXL ZZZ which did not have PAPIs or VASIs. ATC kept us high for this approach as there were multiple aircraft in the vicinity. Cloud bases were broken and around the same altitude as the final Altitude on the approach. We were cleared for the approach inside ZZZZZ with vectors to final and cleared to an altitude until established. It's been a good amount of time since (FO) First Officer flew a Continuous Descent Final Approach (CDFA) approach; and got behind the aircraft; so I coached. I might have thrown him off by telling him to fly in NAV not APPCH; but I had to remind to set next altitude and that he would need 1500 fpm to get to the next alt
True Positive,2204251,2025,Final Approach,IMC,,,,1,1,0.9721193831199486,775,I the First officer Started the leg segment as pilot flying. The flight was uneventful until approach was started. As we got closer to ZZZ the weather conditions continued to deteriorate. We both discussed and decided that Autoland would be the best course of action. We decided the captain would take the controls. We briefed that if the conditions improved that I would take the controls back and complete the segment. After a positive transfer of controls; we briefed the Autoland from the briefing guide. Went through and talked about different expectations and threats about Autoland including the go-around. Then conducted a full arrival and approach briefing. We had all the required equipment
True Positive,2220146,2025,Landing,VMC,,,,1,1,0.9720282185645868,78,We were given an early change of arrival runway to runway XX.   The approach was flown at high speed but stable approach criteria was met.   During the final 30ft power was reduced to idle causing the aircraft sink rate to increase.   The aircraft bounced on the runway and the captain attempted to recover the landing but a second bounce occurred.   I called for a baulked landing go around as it became obvious that any further attempt was unsafe.
True Positive,2252206,2025,Final Approach,VMC,,,,1,1,0.9706147861432493,115,Approach into ZZZ on the ZZZZZ for ILSXXR ZZZZZ1 transition. LNAV/VNAV PTH until ZZZZZ2 then armed APP mode. Gear down flaps 15 speed 180 approaching ZZZZZ3 at 1800 feet. I called for flaps 30 and landing checklist. Aircraft then pitched up and rolled slightly which caused airspeed to decay. I immediately added thrust; turned off autopilot and pitched down to regain airspeed. This caused the aircraft to go slightly below glideslope so I leveled off to regain glide path. ATC issued low altitude alert as a precaution. We were visual with 3 red 1white on PAPI. Aircraft was fully configured before 1000 feet and stable before 500 feet. We reported to ATC and landed uneventfully.
True Positive,2285070,2025,Final Approach,VMC,,,,1,1,0.9686186417237272,382,During the RNAV GPS to runway 15 we were configured early due to having to bleed off speed and energy from a high energy approach. As we passed the IAF we were still a few hundred feet above the path and I deselected the autopilot to hand fly and attempt to return to the path prior to crossing the FAF. I was successful in getting the aircraft back on path and configured prior to the FAF in order to continue the approach. As we subsequently continued our approach toward the airport at about 1100 feet I did a crosscheck of the runway and noticed a below glide path indication i processed and reacted at about 1000 feet and leveled off. We were flaps 40 due to the short runway (long one closed fo
