ACN,incident_year,label_unstable,text_main,env_flight_conditions,env_light,env_month,env_season,env_ceiling_bucket,env_visibility_bucket,env_has_turbulence,env_has_windshear,env_has_rain,env_has_icing,env_has_cloudy,env_has_fog,env_has_haze_smoke,env_has_thunderstorm,env_has_snow,env_any_adverse_weather
1607637,2019,0,My student and I were practicing the Localizer DME RWY XX Approach into ZZZ. I had made 3 position reports on the CTAF frequency notifying airport traffic of our position on the approach; and what our intentions were. The winds were favoring Runway XY and that's what runway was in use at the time. I had planned to do a low approach over the top at circling approach minimum which [was] 1260 ft; and then enter the downwind for Runway XY; and I made that clear over the CTAF. The goal was to practice circling to land off an approach with my instrument student. A Piper Seminole had just departed the runway and I had that traffic in sight; and I was aware there was another aircraft that was behind the Seminole on final. Believing I had enough time; I had my student take off the hood; at which point the aircraft was under my control. As we passed over the top of the field in preparation to circle; I realized that there was only about 400 feet between me and the other aircraft which had been behind the Seminole (as noted via the Traffic information Service and visual observation). Rather than continue; my student and I departed the pattern and re-entered on the 45 for Runway XY without incident. ZZZ is among the top 4 busiest airports within the state; but is un-towered. The field is currently attempting to fund a control tower; which many people believe is much needed and critical to maintaining the safety at the airport. However; in order to prevent future occurrences; and until a tower is implemented; breaking off approaches and re-entering on the 45 when there are multiple aircraft in the pattern is probably safest.,VMC,Daylight,Month_01,Winter,Clear,6_to_10,No,No,No,No,No,No,No,No,No,No
1607646,2019,0,I had been acting as Safety Pilot for an IFR training flight for a friend. The flight was uneventful. Once we got back to Oakland; we decided to do a couple stop and goes for currency. We had each done one landing on [Runway] 28R; when the controller asked us to switch to left close traffic for [Runway] 28L. We complied; and flew the published 600 ft pattern. On downwind; the controller cleared us for the option of [Runway] 28L; and the Pilot Flying read it back and requested a short approach. The controller approved the short approach; and the Pilot Flying read back the approval. Abeam the numbers; we began our short approach for a practice engine out 180 maneuver. On very short final; I noticed a jet cross the [Runway] 28L hold bar and proceed onto the runway. I alerted the Pilot Flying; and he executed a go-around. He then informed the controller that the ground traffic had not passed. I don't not believe a collision was imminent; as our approach was slightly high and we probably would have gone over the jet. However; if we had landed there would have been two planes on the same runway. What's especially troubling is that if we had been lower we almost certainly would have collided on the runway if we had not been able to see the jet. This seems like it was a simple miscommunication between tower and ground controllers; or the tower simply misjudged how long it would take us to execute a short approach. Either way; it was way too close for comfort; and I feel like it should be brought to someone's attention.,VMC,Dusk,Month_01,Winter,High,6_to_10,No,No,No,No,No,No,Yes,No,No,Yes
1607672,2019,0,Aircraft X was on approach talking to Tower. Tower called requesting control of Aircraft X so he could clear him for the visual approach. Aircraft X was cleared for the visual approach. Aircraft Y was several miles behind Aircraft X and reported the runway in sight; and was cleared for the visual approach. The spacing looked good so Aircraft Y was then shipped to Tower. Tower called moments later to inform me that both aircraft were going around due to wind shear and they were now requesting the opposite direction runway. I believe my mistake in this moment was that as a Radar Controller; I should have given Tower altitudes and headings to give to both aircraft before shipping them to me. At the very least; I should have inquired about what both aircraft would be doing when they came to me. Aircraft X checked in first requesting an ILS approach. He was in a climb through 3;800 feet in a 3;300 feet minimum vectoring altitude (MVA) and appeared to be runway heading so I assumed he had missed approach instructions. Shortly after; he leveled off at 4;000 feet. When I saw this; I immediately issued a climb to 7;000 feet but by then he entered a 4;200 foot MVA at 4;000 feet. Additionally; his response was asking me for a heading. I vectored him out for an ILS approach. Aircraft Y checked on at 3;800 feet in a 5;000 feet MVA. I did not issue him a climb or heading. I asked if he still had the runway in sight and wanted to do a visual approach. He said yes to both questions so I cleared him for the visual approach and shipped him to Tower. The Tower could have kept both aircraft on their frequency and worked them in the pattern since both aircraft have the runway in sight. He could have just changed them to the opposite direction runway. If that was not an option; then I should have given altitudes and headings for him to give the aircraft prior to them being returned to my frequency. We need standard missed approach instructions for visual approaches at for both runways.,VMC,Daylight,Month_01,Winter,Missing,No Numeric Visibility,No,Yes,No,No,No,No,No,No,No,Yes
1607708,2019,0,I was observing a UOE (Upgrade Operating Experience) flight as a Check Airman in lieu off FAA in the jumpseat. Approaching ZZZZZ on the RNAV Arrival; the flight was switched to Approach. The crew was expecting ILS Runway XXR PRM and had previously briefed it. The crew was experiencing turbulence and was maintaining 280 knots at ATC's request for spacing. The next Controller told the crew to expect ILS Runway XYL. I can't remember if he said PRM; but the crew prepared for the PRM to XYL. When the crew received the new instructions; I would guess we were approximately 7 miles from ZZZZZ. Somewhere in there; the crew was told to slow to 210 knots. The upgrading Captain programmed the FMC while the Check Airman retrieved the [performance] numbers and requested the new ATIS. I was selecting the appropriate STAR page and the new Approach page on my EFB while the Captain was programming. The RNAV Arrival is contained on two separate STAR pages in the Jepp FD-Pro app depending on the runway for approach. I encourage whoever is reading this look at the ATL STAR menu and see what a challenge this can be when task loaded. The RNAV Arrival on page 10-2B2 is for Runways XZL/R; XAL/R/ XB; XXL; XYL. The RNAV Arrival on page 10-2B3 is for Runways XXR; XYR; XC. ZZZZZ is a branch point from which the transitions to the three different runways occur. When the Upgrading Captain selected the LEGS page for review; there were two discontinuities. He rectified one of them. There was also one between ZZZZZ1 and ZZZZZ2. The waypoint ZZZZZ3 was missing. While this was happening; the crew was cleared to descend via the RNAV and cleared for the ILS Runway XXL. The upgrading Captain elected to back out and start over and reprogrammed the arrival transition; and the approach; verified the route on the LEGS page with the Check Airman and executed. Immediately after that; the crew began dealing with an energy management problem as the MCP [Mode Control Panel] Altitude was set at 9;000 feet from the previous clearance. The upgrading Captain set 6;000 feet in the MCP; full speed brakes and flaps 1 and LVL CHNG to slow the aircraft. Then he accomplished a quick; but effective brief of the ILS PRM Runway XYL. As the crew discussed setting a new altitude in the MCP; Approach Control told them to fly heading 180 and that they were off course. The Approach Controller had to say it twice as the initial transmission was stepped on by another aircraft. The crew acknowledged and turned. The crew was subsequently cleared to intercept the localizer from a new heading. The remainder of the approach was uneventful. Upon landing the crew was told to call ATC for a possible violation. Somehow the point ZZZZZ4 had dropped out of the programming. At ZZZZZ; the aircraft started a turn direct to waypoint ZZZZ1. This was not noticed by either of the crew or me. I don't know how or why this happened. While he was programming the second time he; at one point; had the appropriate STAR transition programmed and executed. He had an accurate route from ZZZZZ to ZZZZZ4 to ZZZZ1 executed in FMC. As the aircraft approached ZZZZZ; the upgrading Captain had to close the discontinuity that existed between ZZZZ1 (last point on the Arrival) and ZZZZ1 on the approach. I think it is possible and likely that the LEGS sequenced as we overflew ZZZZZ while he was correcting the discontinuity causing the error. The aircraft turned to right at ZZZZZ giving the sense that it was going as planned; but going to ZZZZ1 instead of ZZZZZ4. The bottom line is the crew should have not accepted the approach and requested vectors. As the Observer; I could have suggested it. The new clearance was given fairly close to the branch point giving little time to program. The crew was doing their best to accommodate ATC and the fact that the Captain was on an upgrade probably influenced him to try and make it happen. The crew was task loaded with having to brief a new approach which included PRM. This added to the problem as both crew Members were doing separate tasks. A new ATIS and [performance data] added to the task loading. A confusing STAR with separate pages for different Runways added to the task loading. Turbulence and the status of the flight attendants was an additive condition. For my part; I assisted verbally while they were programming and clarified an ATC call while they were turning to localizer but never considered intervening as the crew was on top of things after the initial programming error.,Mixed,Daylight,Month_01,Winter,Low,6_to_10,No,No,No,No,No,No,No,No,No,No
1607756,2019,1,Prior to arriving for duty; I attempted to take a nap in the evening. I slept for a couple of hours; but could not sleep more than that. I felt fine when arriving for duty. I was coming off of [several] days off. I was the pilot monitoring and the First Officer was the pilot flying. Weather was extremely clear and daylight. Light tailwind at altitude. Very light airplane with 10K fuel and empty cans. We were both extremely tired; and communication was degraded between us due to a loud cockpit and mixed headset use (I was using an ANR headset and the FO (First Officer) was using [an ear plug style headset] with the left plug out of his ear so he could hear me). As it turns out; this is not a good CRM setup and communication was compromised between us. I didn't realized the FO was struggling to hear me throughout the flight until we discussed it on the ground.ATC kept us very high before clearing a descent to intercept the ILS XXL about 5 miles from ZZZ. I mentioned to the First Officer that it was going to be difficult to shoot the approach due to this. We were slightly high and fast just outside ZZZ and I suggested we needed to drop the gear and slow down to get stabilized. We were still 10 to 15 knots fast as we approached ZZZZZ; but on glideslope and it looked like we would be on speed at 500 AGL. I suggested we may need to do a go-around. I thought the FO acknowledged; but after the fact he told me he wasn't sure if I was commanding a go-around and was thinking I was waiting to see the results of a continued approach. On our previous leg we discussed going around and the shared belief that a go-around at altitude should be a slow paced methodical event. The autopilot should be engaged and both crewmembers on the same page. I honestly thought that's where we were headed. I made a mistake at that time by not being very specific and commanding a go around. We were on speed and stable at 500 AGL and it was a normal landing. However; I felt we were at the limits of FOM compliance and I don't like to be in that situation.We talked about it in the parking lot and we both realized we were very tired and the FO felt he was behind. We both decided if we could do it again we should have executed a go-around to eliminate any potential for problems. Being kept high in a light airplane is always a challenge; but add fatigue and degraded CRM due to communication difficulties to the mix and the task saturation is very high. As a suggestion; it would be extremely helpful if [we] had hot mics. The enhancement to communication would be a dramatic improvement and a real safety addition.,VMC,Daylight,Month_01,Winter,Medium,0_to_5,No,No,No,No,No,No,No,No,No,No
1607798,2019,0,I was the pilot monitoring. We were leveling at four thousand feet and about 12-15 miles out on the ILS XXR. I was in green needles. ATC assigned a speed reduction of 210 to 170 knots and had cleared us for the visual approach. The pilot flying had the autopilot engaged. The aircraft suddenly began a descent and increased speed. I called for the pilot flying to stop descent. I felt automation was incorrect and stated 'my aircraft' and disconnected the autopilot and corrected for 300-400 foot altitude loss. At this point I transferred controls back to the original pilot flying and re-engaged the autopilot. Moments later the aircraft started a descent. Again I called 'my aircraft' disconnected autopilot and corrected back onto the glideslope and speed correction to 170 knots. ATC had advised us for a 2nd or 3rd time they needed speed of 170. We were at 170 knots at his last request; but speed management was not my first priority when detecting and correcting for the unexpected descent. After stabilizing the aircraft I noted the original pilot flying side altimeter read 31.22 and it was determined that the original pilot flying was turning the baro knob instead of the NAV select knob when transferring to green needles. In doing so; the aircraft thought we were higher and needed to descend to 4000 feet. There were no traffic conflicts and we were cleared on a visual approach.The pilot flying had the correct altimeter settings prior to the approach. The baro knob was inadvertently turned instead of the nav select knob. The location and size of the knobs are similar with the baro knob located just below. The only indication we had which was at the initiation of descent was an altitude chord sound which still took a moment to detect and react to the aircraft descending. Perhaps a message anytime there is a discrepancy between the altimeter settings set on the PFDs to caution the pilots.,VMC,Dusk,Month_01,Winter,Missing,Missing,No,No,No,No,No,No,No,No,No,No
1607850,2019,1,We were cleared to 6000 feet [on the] Visual; routing only XXL. We were then told the ILS just went out to expect a visual approach. At ZZZZZ were told to contact tower; which we thought was a bit early but headed over there anyway. The frequency was very congested and took several minutes for a break in transmissions for us to check-in. Tower asked if we were told to contact them. We responded 'yes; approach told us to contact tower'. Tower responded with 'ah; ok; cleared to land'. It seemed as though approach control sent us to tower early and tower was surprised we were there. We were very high so I disconnected the autopilot and slowed to configure the aircraft. The descent rate required was going to be steeper than normal but I still felt we would be stable by 1000 feet. In the descent; tower cleared a heavy 777 onto XXL and instructed them to line up and wait. They then told us to slow to final approach speed. We fully configured and slowed to final speed. At this point tower cleared the heavy 777 for takeoff and issued us a wake turbulence advisory. We were on speed and configured at 1000 feet; however; I believe our descent rate went above 1000 fpm momentarily. As I considered going around the 777 was rotating and we were very close in trail. I felt a go around into his wake would cause a serious threat due to our close proximity. I elected to continue to land. As we crossed the threshold we encountered the heavy 777's jet blast. A normal landing was made within the touchdown zone; but we did receive a 'don't sink' aural message.I believe the initial cause was that ATC forgot to forward the handoff to tower or they might have even missed sending us to another approach controller which left us very high. The close spacing to the departing heavy 777 and subsequent jet blast encounter contributed to the 'don't sink' aural message. Knowing what we do now; we should have turned down tower's clearance to land from the higher altitude and gotten sequenced back in line. Once we got in so close to the landing runway; I chose to land rather than fly into the wake turbulence of a departing heavy 777 during the go around maneuver; which we were within 2 miles in trail at a very low altitude. ATC's poor communication during the handoff was an additional factor that should not have happened.,VMC,Daylight,Month_01,Winter,Missing,Missing,No,No,No,No,No,No,No,No,No,No
1607852,2019,1,Flying straight into the sun; Non-flying Pilot called airport in sight and [we were] cleared for a visual approach. Flying Pilot did not have visual on runway. Approach became slightly high and configured late. Approach was stable and configured at the 500 foot call and landing was made without incident.The sun in the eyes was the main cause; in addition poor communication of the Non-flying Pilot with the flying pilot. If the sun is going to be a blinding factor in the approach; shoot the approach as a typical IMC approach ie ILS or GPS. Brief the Non-flying Pilot not to call visual in sight until both pilots have a visual on the airport.,VMC,Daylight,Month_01,Winter,Missing,Missing,No,No,No,No,No,No,No,No,No,No
1607869,2019,1,While downwind on approach to XXL; GPS failed and Approach reported that radio was garbled and scratchy; after I called and reported loss of my primary navigational aids. I continued turning my #2 radio then the GPS (Garmin 430) came back on line. As I started the approach needles swayed back and forth then settled down. Glide slope needle centered on glide path and after a few a few seconds needle and aircraft nosed down violently at 3000 fpm. I grabbed the controls and abandoned the approach. Approach asked if I needed assistance. I stated that I had navigational problems but wanted to try again. During 2nd approach I slowed aircraft too early from 170kts as requested; because needles were less erratic; but trailing traffic was closing on me and tower told me to abandon the approach. On 3rd attempt I flew the approach manually and maintained centerline averaging the heading because localizer needle and flight director swayed left and right.,Marginal,Missing,Month_01,Winter,Very Low,No Numeric Visibility,No,No,Yes,No,No,No,No,No,No,Yes
1607889,2019,0,We had planned and briefed to land on Runway 16L with the ILS approach. When we switched frequency from Center to Approach; Approach Control told us we were landing on Runway 17R via the RNAV (RNP) Z RWY 17R. I switched the approach on the FMC to the RNAV (RNP) Z RWY 17R and my Captain verified it. However; I did not go back to the legs page to verify that all the legs were sequenced correctly. That was my mistake. After passing STAAM intersection we noticed that the aircraft wasn't turning. At that time my Captain had me disengage the autopilot and I began to turn towards the course. At the same time ATC radioed and queried about our heading. We told them we were in the turn and they asked if we had the airport in sight to which we replied affirmative and ATC cleared us for the visual approach. We continued to the airport and landed.,VMC,Missing,Month_01,Winter,Missing,Missing,No,No,No,No,No,No,No,No,No,No
